date,hits
2020-05-28,7712332
2020-05-29,7729962
2020-05-30,7728313
2020-05-31,7738393
2020-06-01,7761755
2020-06-02,7775264
2020-06-03,7788062
2020-06-04,7769458
2020-06-05,7809649
2020-06-06,7815640
2020-06-07,7835145
2020-06-08,7845522
2020-06-09,7825116
2020-06-10,7844577
2020-06-11,7882573
